,V1,V2,V3,HP,Volume.HP
1,0.048107959,-0.037114326,-0.112278095,-2.12260641,-0.836769681
2,0.080387616,-0.02420683,-0.095904989,-2.047209072,-0.720813533
3,0.077010707,-0.041604413,-0.074564042,-1.745618882,-0.192136821
4,0.102039897,-0.028145902,-0.054985802,-1.753996644,-0.006066936
5,0.116242876,0.002984108,-0.063660154,-1.946679289,0.073042468
6,0.112170634,-0.02810566,-0.05383648,-1.921546002,0.293552024
7,0.111872677,-0.037812454,-0.063551764,-1.636712177,-0.371463813
8,0.111177503,-0.043043343,-0.0516915,-1.418897927,-0.669478057
9,0.027746915,0.254415955,0.038945236,-1.117306896,0.453946456
10,0.018013397,0.03703001,0.098987935,-1.117306896,-0.449678279
11,0.010167026,-0.00956899,0.153735847,-0.899493487,-0.482713823
12,0.032017841,-0.020422322,0.122037264,-0.983267746,-0.432674464
13,0.046816723,0.006470206,0.123749022,-0.891114884,-0.530670138
14,0.087340128,0.001305997,0.136913774,-0.916249012,-0.488083449
15,0.126870402,0.048658472,0.125312457,-0.39684373,0.288274977
16,0.099060206,0.025089229,0.145507358,-0.388466809,-0.119230261
17,0.108297085,-0.004941038,0.161719144,-0.556016167,-0.742677786
18,0.133326274,0.012035217,0.145568983,-0.363334363,-0.434556919
19,0.093398781,0.001842626,0.196002114,-0.145520954,-0.31502102
20,0.104721482,0.010712909,0.140001734,-0.505750434,-0.212380928
21,0.102437115,0.123973802,0.137931295,-0.623035742,-0.024582887
22,0.164016739,0.216865806,0.033571241,-0.296312265,0.1413509
23,0.136107281,0.059310591,-0.084206555,-0.413599255,0.116539525
24,0.046518777,0.038516622,-0.158663269,-1.242969966,0.502921148
25,0.086744226,0.086342671,-0.135359081,-1.184328153,0.562897402
26,0.035791979,0.003817099,-0.161896727,-1.326744224,0.082377594
27,-0.049624871,0.008159325,-0.216754195,-1.762374406,-0.079883863
28,-0.004632005,0.042375952,-0.15754964,-1.544559315,0.638380765
29,-0.001652314,0.004300513,-0.104751948,-1.167572628,-0.755314923
30,-0.034031393,-0.067720176,-0.048000975,-1.402141562,0.178382804
31,0.029236835,0.006671986,-0.083316163,-0.832473912,0.220583744
32,0.033607033,-0.031653337,-0.013086885,-0.664922871,-0.675387731
33,0.007783248,-0.04667757,0.039828271,-0.631414345,-0.48384021
34,-0.005625284,-0.053758862,0.083718043,-0.522505959,-0.546408697
35,0.013245989,-0.03222366,0.085571998,-0.748698812,-0.258022749
36,0.023972777,-0.050005981,0.060610357,-0.614658821,0.574099552
37,0.066681128,-0.021590305,0.069673946,0.834646114,5.005414274
38,0.082969939,-0.019010016,0.106273804,1.178121752,2.005814661
39,0.048505337,-0.048648124,0.069512751,1.404315446,1.29651484
40,0.017318222,-0.05237054,0.062909577,1.211633642,0.763502309
41,-0.006320469,-0.04396558,-0.028710257,1.052461205,0.230412628
42,0.000433359,-0.05615088,-0.002516896,1.370806079,0.360857508
43,0.037977073,-0.053232267,-0.008751737,1.538355437,-0.132407446
44,0.031819158,-0.06256685,0.014861451,1.8985866,-0.158514938
45,0.070852792,-0.018625762,0.006066577,1.680771509,-0.234908669
46,0.057245565,-0.036364224,0.08196821,1.513223833,-0.312876256
47,0.08594963,-0.012482873,0.156036435,1.689150112,0.30645147
48,0.081281485,-0.031777557,0.181215736,1.613751934,-0.373006809
49,0.052676842,-0.034803164,0.128238962,1.517030454,-0.551932623
50,0.075620199,-0.027400657,0.136559827,1.491799604,-0.153669931
51,0.072342562,-0.035542601,0.142748242,1.474978477,0.418596418
52,0.084559121,0.016736368,0.069102463,1.441337064,1.353034782
53,-0.039891352,0.267960192,0.043164636,1.365641993,-0.483192152
54,-0.083692404,0.45496876,0.046946976,1.432926501,-0.215775519
55,-0.071376423,0.343452333,0.034358086,1.374050874,-0.258593657
56,-0.116071333,0.148605241,-0.00709698,1.04603974,-0.264842791
57,-0.170698445,0.012855314,-0.001733682,0.465710018,-0.31127154
58,-0.16404388,0.387631824,0.010922701,0.768491145,-0.243055688
59,-0.241912315,0.10054245,0.010014758,0.406836074,-0.066737537
60,-0.233867251,0.007761899,0.019576442,0.49094255,0.220105415
61,-0.166725624,0.045025763,0.020476029,0.390016629,0.529383529
62,-0.210427254,-0.096975377,0.021251776,0.036772963,-0.355524665
63,-0.203276048,-0.065896623,0.028756182,0.053592408,0.121029643
64,-0.213307523,-0.031767585,0.072785132,0.146109447,0.096480577
65,-0.171195085,-0.049626457,0.034220751,0.104057471,0.389773253
66,-0.192449988,-0.061387861,-0.007028515,-0.316470703,0.242309127
67,-0.18519952,-0.091448755,0.019312624,-0.223956187,-0.637815779
68,-0.114581562,0.068427816,-0.049349594,0.146109447,0.420386293
69,-0.101868204,0.067137869,-0.103987203,0.137698884,-0.424357715
70,-0.126202219,-0.038912084,-0.007578384,0.280678463,0.207067099
71,-0.119746198,-0.128476813,-0.005905645,0.272267899,-0.388236179
72,-0.116667235,-0.136197307,0.021446563,0.406836074,0.675968147
73,-0.078626881,-0.089717262,0.086100807,0.566637621,0.704498143
74,-0.101470976,-0.112499595,0.112327591,0.507763677,-0.458041318
75,-0.084188894,-0.095653996,0.139924924,0.280678463,-0.739005455
76,-0.102265572,-0.12243805,0.118544928,0.179752542,-0.75253753
77,-0.106635771,-0.104766626,0.101284226,0.289089026,-0.693687663
78,-0.167718755,-0.080112581,0.010544474,0.238626487,-0.382017906
79,-0.167718755,-0.049411199,0.007557932,0.196571987,-0.505534734
80,-0.023999769,0.223380356,-0.167631138,0.263856495,-0.291845221
81,-0.029661204,-0.02421078,-0.137655244,0.230215082,-0.577392057
82,-0.045453366,-0.079991885,-0.148386967,-0.022102663,-0.016250709
83,-0.02697946,-0.041924706,-0.112414631,0.087235503,-0.451622454
84,-0.005029233,-0.006254376,-0.191094799,0.036772963,-0.958326904
85,-0.025390277,-0.051197163,-0.15805135,-0.148260275,-0.701572373
86,0.000334097,-0.06821805,-0.103152665,0.112466352,-0.989341123
87,0.013841891,-0.054896187,-0.10059159,0.188161424,-0.32279772
88,0.023277454,-0.065186771,-0.112774795,0.263856495,-0.026326473
89,0.06042395,-0.003482764,-0.075220093,0.440479169,0.067148224
90,0.08892932,0.002320864,-0.061590917,0.482531986,-0.043283999
91,0.103430395,0.011723571,-0.079205362,0.499353113,-0.166708247
92,0.099954065,-0.018801356,-0.061410617,0.432068606,-0.636133913
93,0.076911435,-0.033745376,-0.100411936,0.272267899,-0.650067167
94,0.065787269,-0.032517005,-0.078486072,0.465710018,0.41370512
95,0.071349283,-0.040094872,-0.09429257,0.499353113,-0.304960687
96,0.060622484,-0.055279838,-0.118883493,0.406836074,-0.893983971
97,0.07859989,-0.042429988,-0.099314175,0.364784098,-0.984727565
98,0.07174665,-0.050642746,-0.12223048,0.280678463,0.284294048
99,0.102536388,-0.013711419,-0.134881541,-1.258454654,6.701645183
